Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Peaky Blinders,,8.8,Crime,2013–2022,1h,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,Ned Dennehy,Finn Cole,Natasha O'Keeffe,Ian Peck,Harry Kirton,Packy Lee,Joe Cole,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Benjamin Zephaniah,Tom Hardy,Jordan Bolger",TV-MA,United Kingdom
Kota Factory,,9.0,Comedy,2019–2021,45m,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Akdas Hayat,Abhishake Jha,Sachin Vidrohi,Op Jangid,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma",TV-14,India
Rome,,8.7,Action,2005–2007,52m,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",TV-MA,United Kingdom
Six Feet Under,,8.7,Comedy,2001–2005,1h,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Rachel Griffiths,Freddy Rodríguez,Mathew St. Patrick,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Giancarlo Rodriguez,Richard Jenkins,Ed O'Ross",TV-MA,United States
Over the Garden Wall,,8.8,Animation,2014,22m,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Bebe Neuwirth,Noureen DeWulf,Deborah Voigt",TV-PG,United States
South Park,,8.7,Animation,1997– ,22m,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Betty Boogie Parker,Omaira Coromoto Rivero,Vernon Chatman,Kyle McCulloch,John 'Nancy' Hansen,Elisa Gabrielli,Kimberly Brooks,Jonathan Kimmel",TV-14,United States
"I, Claudius",,8.8,Biography,1976,669m,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley",Not Rated,United Kingdom
Dragon Ball Z,Doragon bôru zetto,8.8,Animation,1989–1996,24m,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",TV-PG,Japan
One Piece,Wan pîsu,8.9,Animation,1999– ,24m,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka,Laurent Vernin,Tony Beck,Akemi Okamura,Kazuya Nakai,Kappei Yamaguchi,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Yuriko Yamaguchi,Mahito Ôba,Kazuki Yao,Chikao Ôtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô",TV-14,Japan
Chappelle's Show,,8.8,Comedy,2003–2006,22m,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Diaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",TV-MA,United States
Dragon Ball Z,,8.8,Animation,1989–1996,24m,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Kyle Hebert,Michael Dobson,Kirby Morrow,Jillian Michaels,Ted Cole,Cynthia Cranz",TV-PG,Japan
Narcos,,8.8,Biography,2015–2017,49m,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie,Maurice Compte,María José Sanchez Real",TV-MA,United States
Black Mirror,,8.8,Drama,2011–2019,1h,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Aaron Paul,Anjana Vasan,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Alex Lawther,Gugu Mbatha-Raw",TV-MA,United Kingdom
BoJack Horseman,,8.8,Animation,2014–2020,25m,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",TV-MA,United States
